,Credit_Limit,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Avg_Utilization_Ratio,Total_Revolving_Bal,edu_College,edu_Doctorate,edu_Graduate,edu_High School,edu_Post-Graduate,edu_Uneducated,marital_Divorced,marital_Married,marital_Single,income_$120K +,income_$40K - $60K,income_$60K - $80K,income_$80K - $120K,income_Less than $40K
857,9235.0,39.0,0.0,2.0,35.0,5.0,3.0,0.16,1479.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
858,8837.0,44.0,1.0,0.0,24.0,5.0,3.0,0.238,2103.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
862,1438.3,26.0,0.0,1.0,20.0,6.0,3.0,0.468,673.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
864,4592.0,47.0,1.0,4.0,34.0,5.0,2.0,0.356,1635.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
865,1438.3,57.0,0.0,2.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
867,5269.0,54.0,1.0,4.0,49.0,3.0,1.0,0.209,1099.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
869,7410.0,39.0,1.0,2.0,35.0,4.0,3.0,0.34,2517.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
870,12163.0,53.0,1.0,3.0,44.0,3.0,2.0,0.171,2082.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
872,4250.0,59.0,1.0,0.0,49.0,3.0,3.0,0.258,1095.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
874,2799.0,34.0,0.0,3.0,28.0,5.0,1.0,0.63,1762.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
875,18037.0,47.0,1.0,4.0,36.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
876,5657.0,54.0,1.0,2.0,43.0,3.0,2.0,0.304,1719.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
878,4646.0,53.0,0.0,3.0,44.0,6.0,2.0,0.372,1730.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
879,2514.0,50.0,1.0,2.0,35.0,3.0,3.0,0.605,1521.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
880,14501.0,56.0,1.0,0.0,51.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
881,8663.0,43.0,1.0,3.0,36.0,1.0,3.0,0.033,288.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
882,2333.0,44.0,0.0,4.0,36.0,5.0,3.0,0.637,1485.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
883,3038.0,34.0,0.0,4.0,26.0,5.0,5.0,0.507,1539.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
887,8512.0,56.0,1.0,3.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
888,19063.0,47.0,1.0,1.0,36.0,4.0,3.0,0.09,1714.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
889,5376.0,53.0,1.0,4.0,33.0,5.0,3.0,0.219,1177.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
891,9173.0,39.0,0.0,2.0,29.0,6.0,1.0,0.223,2047.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
892,34516.0,44.0,1.0,2.0,35.0,4.0,1.0,0.05,1726.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
894,15405.0,46.0,1.0,2.0,36.0,3.0,2.0,0.11,1691.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
896,23991.0,35.0,1.0,1.0,25.0,6.0,1.0,0.096,2307.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
897,1888.0,39.0,0.0,4.0,31.0,4.0,3.0,0.684,1292.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
898,3102.0,61.0,0.0,1.0,54.0,3.0,2.0,0.674,2091.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
899,3170.0,40.0,0.0,3.0,29.0,5.0,2.0,0.794,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
900,34516.0,53.0,1.0,3.0,36.0,6.0,2.0,0.055,1901.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
903,3131.0,35.0,1.0,2.0,36.0,4.0,3.0,0.201,629.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
905,16868.0,51.0,1.0,2.0,39.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
906,3266.0,42.0,1.0,3.0,35.0,4.0,3.0,0.582,1900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
908,3556.0,46.0,0.0,4.0,40.0,3.0,2.0,0.611,2172.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
909,9149.0,46.0,1.0,4.0,35.0,3.0,2.0,0.171,1566.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
911,14701.0,46.0,1.0,3.0,35.0,4.0,3.0,0.111,1635.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
912,14825.0,62.0,1.0,1.0,44.0,5.0,2.0,0.065,962.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
913,10127.0,55.0,1.0,2.0,49.0,4.0,5.0,0.185,1873.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
914,2929.0,55.0,1.0,2.0,45.0,5.0,1.0,0.83,2431.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
915,3735.0,32.0,1.0,0.0,24.0,5.0,2.0,0.315,1176.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
916,2930.0,37.0,0.0,4.0,18.0,5.0,1.0,0.691,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
918,22120.0,42.0,1.0,2.0,32.0,5.0,2.0,0.082,1805.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
919,1438.3,33.0,1.0,2.0,22.0,3.0,3.0,0.473,681.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
921,1759.0,65.0,1.0,1.0,47.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
922,4829.0,57.0,1.0,1.0,36.0,3.0,3.0,0.501,2418.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
924,2156.0,45.0,0.0,5.0,39.0,4.0,3.0,0.56,1208.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
925,9521.0,62.0,1.0,1.0,36.0,6.0,3.0,0.175,1669.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
926,26714.0,51.0,1.0,2.0,41.0,6.0,3.0,0.094,2517.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
927,2092.0,57.0,1.0,2.0,47.0,6.0,2.0,0.663,1387.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
929,2834.0,32.0,0.0,0.0,19.0,6.0,1.0,0.5,1418.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
930,4724.0,43.0,0.0,4.0,37.0,4.0,3.0,0.435,2056.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
934,3128.0,53.0,0.0,1.0,36.0,3.0,1.0,0.805,2517.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
935,6414.0,42.0,1.0,2.0,30.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
936,2506.0,53.0,1.0,3.0,34.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
938,3460.0,60.0,0.0,2.0,36.0,4.0,3.0,0.727,2517.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
939,9959.0,30.0,1.0,1.0,19.0,5.0,3.0,0.239,2377.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
940,4175.0,43.0,0.0,3.0,39.0,4.0,1.0,0.603,2517.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
941,10264.0,60.0,1.0,1.0,48.0,3.0,1.0,0.202,2073.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
942,4129.0,46.0,1.0,2.0,36.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
943,2658.0,65.0,0.0,2.0,45.0,6.0,2.0,0.57,1514.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
944,4589.0,44.0,0.0,2.0,33.0,4.0,2.0,0.27,1240.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
945,2781.0,56.0,0.0,2.0,36.0,6.0,1.0,0.372,1035.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
948,8091.0,48.0,1.0,2.0,39.0,5.0,1.0,0.247,1996.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
949,3417.0,37.0,0.0,4.0,30.0,4.0,4.0,0.737,2517.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
950,9204.0,39.0,1.0,1.0,22.0,4.0,3.0,0.092,845.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
951,14302.0,41.0,1.0,2.0,32.0,5.0,2.0,0.147,2097.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
952,3187.0,55.0,0.0,2.0,45.0,5.0,2.0,0.79,2517.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
953,6313.0,34.0,1.0,1.0,36.0,5.0,3.0,0.124,782.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
955,11696.0,54.0,0.0,0.0,39.0,6.0,2.0,0.196,2288.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
956,20371.0,40.0,1.0,3.0,36.0,5.0,3.0,0.09,1832.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
957,34516.0,52.0,1.0,0.0,41.0,3.0,3.0,0.03,1043.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
958,7552.0,45.0,1.0,3.0,33.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
959,5561.0,61.0,1.0,0.0,53.0,5.0,1.0,0.258,1434.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
960,1441.0,57.0,0.0,2.0,52.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
963,4570.0,48.0,0.0,2.0,44.0,5.0,1.0,0.534,2439.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
964,3870.0,34.0,1.0,0.0,13.0,3.0,3.0,0.36,1394.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
965,12938.0,49.0,1.0,4.0,36.0,6.0,3.0,0.051,661.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
966,21178.0,53.0,1.0,3.0,36.0,3.0,1.0,0.085,1796.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
967,12182.0,34.0,1.0,2.0,36.0,3.0,2.0,0.093,1136.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
968,3583.0,54.0,1.0,2.0,42.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
969,17018.0,40.0,1.0,3.0,27.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
971,4203.0,41.0,0.0,4.0,36.0,6.0,2.0,0.599,2517.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
972,4213.0,46.0,1.0,3.0,36.0,5.0,1.0,0.237,997.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
973,21548.0,46.0,1.0,4.0,33.0,6.0,2.0,0.055,1180.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
975,2483.0,59.0,1.0,1.0,36.0,4.0,2.0,0.553,1372.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
976,3460.0,50.0,1.0,0.0,38.0,5.0,2.0,0.544,1881.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
979,2615.0,53.0,0.0,1.0,36.0,3.0,2.0,0.678,1772.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
980,2985.0,42.0,0.0,1.0,35.0,4.0,3.0,0.789,2355.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
981,18797.0,46.0,1.0,5.0,28.0,5.0,1.0,0.115,2158.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
982,2859.0,33.0,1.0,1.0,22.0,3.0,1.0,0.88,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
983,2888.0,46.0,0.0,2.0,38.0,4.0,3.0,0.777,2245.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
984,9172.0,61.0,1.0,0.0,36.0,4.0,3.0,0.171,1567.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
985,14281.0,42.0,1.0,5.0,34.0,5.0,3.0,0.106,1519.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
986,7353.0,47.0,0.0,4.0,39.0,3.0,2.0,0.197,1450.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
987,5145.0,47.0,0.0,2.0,36.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
988,4753.0,53.0,0.0,4.0,36.0,3.0,2.0,0.52,2472.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
989,2171.0,46.0,0.0,3.0,26.0,3.0,3.0,0.653,1418.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
990,4150.0,26.0,1.0,0.0,36.0,5.0,2.0,0.11,456.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
991,9106.0,45.0,1.0,3.0,41.0,6.0,3.0,0.272,2477.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
992,2686.0,36.0,1.0,2.0,36.0,3.0,3.0,0.645,1733.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
994,34516.0,52.0,1.0,1.0,36.0,4.0,3.0,0.016,549.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
995,15017.0,37.0,1.0,3.0,25.0,3.0,3.0,0.115,1733.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
996,4426.0,53.0,1.0,1.0,43.0,3.0,1.0,0.346,1530.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
997,2155.0,65.0,0.0,1.0,52.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
999,3238.0,38.0,1.0,0.0,19.0,3.0,1.0,0.663,2146.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1000,14316.0,52.0,1.0,2.0,46.0,5.0,3.0,0.076,1081.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1001,2607.0,36.0,1.0,3.0,36.0,5.0,3.0,0.721,1880.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1002,6231.0,43.0,1.0,4.0,24.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1004,3094.0,65.0,0.0,0.0,56.0,4.0,1.0,0.732,2266.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1005,6630.0,51.0,0.0,2.0,41.0,2.0,2.0,0.138,916.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1006,1925.0,40.0,1.0,3.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009,9452.0,60.0,1.0,0.0,47.0,3.0,3.0,0.266,2517.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1010,2162.0,43.0,0.0,2.0,29.0,6.0,3.0,0.637,1377.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1011,1438.3,31.0,1.0,2.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1012,34516.0,55.0,1.0,1.0,42.0,4.0,2.0,0.043,1478.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1013,2888.0,65.0,0.0,1.0,54.0,3.0,3.0,0.393,1134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1014,3947.0,54.0,0.0,1.0,44.0,3.0,3.0,0.442,1746.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1016,1830.0,38.0,0.0,2.0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1017,7712.0,36.0,1.0,2.0,29.0,5.0,3.0,0.326,2517.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1019,11789.0,41.0,1.0,3.0,31.0,3.0,3.0,0.12,1420.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1020,3073.0,50.0,1.0,3.0,37.0,3.0,1.0,0.583,1792.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1021,34516.0,48.0,1.0,3.0,36.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1023,6725.0,55.0,0.0,2.0,46.0,6.0,2.0,0.301,2025.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1025,34516.0,42.0,1.0,3.0,36.0,1.0,1.0,0.023,781.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1026,34516.0,54.0,1.0,3.0,46.0,3.0,1.0,0.025,854.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1027,24545.0,57.0,1.0,1.0,36.0,6.0,2.0,0.071,1735.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1028,1438.3,53.0,0.0,1.0,46.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1029,2490.0,41.0,0.0,4.0,31.0,5.0,1.0,0.252,627.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1030,10074.0,39.0,1.0,1.0,24.0,6.0,2.0,0.25,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1031,2259.0,45.0,1.0,2.0,40.0,3.0,3.0,0.422,954.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1032,34516.0,46.0,1.0,2.0,35.0,6.0,3.0,0.036,1236.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1033,9519.0,54.0,1.0,2.0,50.0,4.0,2.0,0.203,1936.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1036,1438.3,56.0,0.0,3.0,51.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1037,2372.0,33.0,0.0,4.0,36.0,4.0,2.0,0.796,1887.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1038,4214.0,44.0,0.0,4.0,34.0,5.0,1.0,0.296,1249.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1039,1438.3,62.0,0.0,1.0,53.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1041,4331.0,36.0,0.0,3.0,26.0,6.0,1.0,0.334,1445.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1043,1438.3,61.0,0.0,0.0,49.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1046,12643.0,35.0,1.0,2.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1047,6088.0,65.0,0.0,0.0,36.0,5.0,2.0,0.352,2145.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1048,13873.0,36.0,1.0,3.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1049,6158.0,42.0,0.0,4.0,32.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1050,5638.0,51.0,1.0,1.0,41.0,5.0,3.0,0.143,808.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1051,2178.0,54.0,0.0,1.0,40.0,5.0,2.0,0.525,1144.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
